Economic Indicators,Fiscal Year,val
Gross Output at current price (Rs in millions),2065/66,45311
Intermediate Consumption at current price (Rs inmillions),2065/66,31367
"Gross Value Added at current price, 2057/58 (Rs in millions)",2065/66,9056
Gross Value Added at constant price (Rs in millions),2065/66,13943
Gross Domestic Product Deflator,2065/66,153.97
Gross Output at current price (Rs in millions),2066/67,56041
Intermediate Consumption at current price (Rs inmillions),2066/67,38694
"Gross Value Added at current price, 2057/58 (Rs in millions)",2066/67,9646
Gross Value Added at constant price (Rs in millions),2066/67,17347
Gross Domestic Product Deflator,2066/67,179.84
Gross Output at current price (Rs in millions),2067/68,71193
Intermediate Consumption at current price (Rs inmillions),2067/68,49326
"Gross Value Added at current price, 2057/58 (Rs in millions)",2067/68,10359
Gross Value Added at constant price (Rs in millions),2067/68,21866
Gross Domestic Product Deflator,2067/68,211.09
Gross Output at current price (Rs in millions),2068/69,79118
Intermediate Consumption at current price (Rs inmillions),2068/69,54597
"Gross Value Added at current price, 2057/58 (Rs in millions)",2068/69,10855
Gross Value Added at constant price (Rs in millions),2068/69,24521
Gross Domestic Product Deflator,2068/69,255.9
Gross Output at current price (Rs in millions),2069/70,95080
Intermediate Consumption at current price (Rs inmillions),2069/70,65194
"Gross Value Added at current price, 2057/58 (Rs in millions)",2069/70,29836
Gross Value Added at constant price (Rs in millions),2069/70,11605
Gross Domestic Product Deflator,2069/70,257.53
Gross Output at current price (Rs in millions),2070/71,108943
Intermediate Consumption at current price (Rs inmillions),2070/71,73634
"Gross Value Added at current price, 2057/58 (Rs in millions)",2070/71,35309
Gross Value Added at constant price (Rs in millions),2070/71,12391
Gross Domestic Product Deflator,2070/71,284.04
Gross Output at current price (Rs in millions),2071/72,120407
Intermediate Consumption at current price (Rs inmillions),2071/72,79928
"Gross Value Added at current price, 2057/58 (Rs in millions)",2071/72,40479
Gross Value Added at constant price (Rs in millions),2071/72,12804
Gross Domestic Product Deflator,2071/72,316.16
Gross Output at current price (Rs in millions),2072/73,129634
Intermediate Consumption at current price (Rs inmillions),2072/73,88175
"Gross Value Added at current price, 2057/58 (Rs in millions)",2072/73,41459
Gross Value Added at constant price (Rs in millions),2072/73,11564
Gross Domestic Product Deflator,2072/73,358.52
Gross Output at current price (Rs in millions),2073/74,145936
Intermediate Consumption at current price (Rs inmillions),2073/74,98547
"Gross Value Added at current price, 2057/58 (Rs in millions)",2073/74,47390
Gross Value Added at constant price (Rs in millions),2073/74,12383
Gross Domestic Product Deflator,2073/74,382.69
