year,holiday pleasure,trekking and mountaineering,business,pilgrimage,official,convetion/conference,others,not specified,total
1993,170289,69619,19495,10429,15812,5367,2566,,293567
1994,168155,76865,23522,5475,20431,5361,26722,,326531
1995,183207,84787,21829,5257,20090,5272,42953,,363395
1996,209377,88945,25079,4802,20191,6054,39165,,393613
1997,249360,91525,27409,4068,24106,5824,19565,,421857
1998,261347,112644,24954,16164,22123,5181,21271,,463684
1999,290862,107960,23813,19198,24132,5965,19574,,491504
2000,255889,118780,29454,15801,20832,5599,17291,,463646
2001,187022,100828,18528,13816,18727,0,22316,,361237
2002,110143,59279,16990,12366,17783,0,58907,,275468
2003,97904,65721,19387,21395,21967,0,111758,,338132
2004,167262,69442,13948,45664,17088,0,71893,,385297
2005,160259,61488,21992,47621,16859,0,67179,,375398
2006,145802,66931,21066,59298,18063,0,72766,,383926
2007,217815,101320,24487,52594,21670,8019,78644,22156,526705
2008,148180,104822,23039,45091,43044,6938,99364,29529,500277
2009,140992,132929,22758,51542,24518,9985,87134,40098,509956
2010,263938,70218,21377,101335,26374,9627,52347,57651,602867
2011,425721,86260,17859,63783,24054,10836,37311,70391,736215
2012,379627,105015,24785,109854,30460,13646,48540,91165,803092
2013,437891,97309,30309,40678,39881,15952,62214,73381,797616
2014,395849,97185,24494,98765,32395,13432,53728,74271,790118
2015,386065,9162,20876,14996,21479,9038,77354,,538970
2016,489451,66490,24322,82830,21310,12801,55797,,753002
2017,,,,,,,,,
