#tourist_arrivals by age group,,,,,,,
Year,0-15,16-30,31-45,46-60,60+,Unspecified,total
1993,59768,91947,96665,59768,29898,0,293567
1994,20097,96016,106260,66174,37984,0,326531
1995,22878,106603,120212,76647,37055,0,363395
1996,22185,94924,116307,89751,70446,0,393613
1997,23840,121286,126828,107111,42792,0,421857
1998,26763,122103,151846,121190,41782,0,463684
1999,30967,150307,155985,113314,40913,0,491504
2000,19136,119816,148063,125140,51491,0,463646
2001,14608,95801,115678,93621,41529,0,361237
2002,12425,67774,99622,67017,28630,0,275468
2003,16056,78357,99740,85753,58226,0,338132
2004,38734,84125,128267,96920,37251,0,385297
2005,30429,57115,114103,106077,67674,0,375398
2006,37433,75626,123541,95260,52066,0,383926
2007,38870,112879,164488,130756,69927,9785,526705
2008,42581,106596,150171,121387,60531,19011,500277
2009,84891,140805,141995,99197,39638,3470,509956
2010,41156,120395,189852,172800,64593,14071,602867
2011,32795,171081,212176,177983,82726,59454,736215
2012,35468,181558,231117,201835,109239,43875,803092
2013,46262,190630,237690,195416,115654,11964,797616
2014,50441,185685,235738,183582,106666,28007,790118
2015,19614,123444,157416,129614,74518,34365,538970
2016,29825,154960,218479,199139,130627,19972,753002
2017,35332,217143,292827,244342,141316,9258,940218
