Year,Average length of Stay
1964,NA
1965,NA
1966,NA
1967,NA
1968,NA
1969,NA
1970,NA
1971,NA
1972,NA
1973,NA
1974,13.2
1975,13.05
1976,12.41
1977,11.6
1978,11.84
1979,12.02
1980,11.18
1981,10.49
1982,13.33
1983,11.53
1984,11.55
1985,11.3
1986,11.16
1987,11.98
1988,12
1989,12
1990,12
1991,9.25
1992,10.14
1993,11.94
1994,10
1995,11.27
1996,13.5
1997,10.49
1998,10.76
1999,12.28
2000,11.88
2001,11.93
2002,7.92
2003,9.6
2004,13.51
2005,9.09
2006,10.2
2007,11.96
2008,11.78
2009,11.32
2010,12.67
2011,13.12
2012,12.16
2013,12.6
2014,12.44
2015,13.16
2016,13.4
2017,12.6
